field,m,angle,distance,relerr_offset,relerr_abs,mag
phis,0,0.000000,1.000000e-12,1.362660e-16,8.889268e-05,8.958236e+11
phis,0,0.000000,1.778279e-12,2.423190e-16,8.222882e-05,5.037587e+11
phis,0,0.000000,3.162278e-12,0.000000e+00,1.146413e-04,2.832843e+11
phis,0,0.000000,5.623413e-12,0.000000e+00,9.468470e-05,1.593025e+11
phis,0,0.000000,1.000000e-11,1.703325e-16,8.874298e-05,8.958236e+10
phis,0,0.000000,1.778279e-11,4.543482e-16,1.766951e-05,5.037587e+10
phis,0,0.000000,3.162278e-11,2.693193e-16,2.281484e-06,2.832843e+10
phis,0,0.000000,5.623413e-11,1.197313e-16,7.209396e-08,1.593025e+10
phis,0,0.000000,1.000000e-10,2.129156e-16,8.274036e-08,8.958236e+09
phis,0,0.000000,1.778279e-10,0.000000e+00,2.308558e-06,5.037587e+09
phis,0,0.000000,3.162278e-10,3.366492e-16,2.281484e-06,2.832843e+09
phis,0,0.000000,5.623413e-10,1.496641e-16,7.209396e-08,1.593025e+09
phis,0,0.000000,1.000000e-09,3.992168e-16,8.274036e-08,8.958236e+08
phis,0,0.000000,1.778279e-09,1.183198e-16,3.107153e-07,5.037587e+08
phis,0,0.000000,3.162278e-09,4.208115e-16,3.454494e-08,2.832843e+08
phis,0,0.000000,5.623413e-09,3.741602e-16,7.209396e-08,1.593025e+08
phis,0,0.000000,1.000000e-08,4.990210e-16,8.274036e-08,8.958236e+07
phis,0,0.000000,1.778279e-08,5.915992e-16,1.103954e-08,5.037587e+07
phis,0,0.000000,3.162278e-08,1.315036e-16,2.162839e-08,2.832843e+07
phis,0,0.000000,5.623413e-08,0.000000e+00,8.916782e-09,1.593025e+07
phis,0,0.000000,1.000000e-07,2.079254e-16,6.077471e-09,8.958236e+06
phis,0,0.000000,1.778279e-07,1.848748e-16,1.050353e-09,5.037587e+06
phis,0,0.000000,3.162278e-07,1.643795e-16,8.409403e-10,2.832843e+06
phis,0,0.000000,5.623413e-07,1.461563e-16,5.597942e-10,1.593025e+06
phis,0,0.000000,1.000000e-06,0.000000e+00,7.484011e-10,8.958236e+05
phis,0,0.000000,1.778279e-06,1.155467e-16,5.143435e-11,5.037587e+05
phis,0,0.000000,3.162278e-06,2.054744e-16,2.792068e-10,2.832843e+05
phis,0,0.000000,5.623413e-06,3.653908e-16,7.197742e-11,1.593025e+05
phis,0,0.000000,1.000000e-05,6.497669e-16,3.785802e-11,8.958237e+04
phis,0,0.000000,1.778279e-05,2.888668e-16,4.845726e-11,5.037587e+04
phis,0,0.000000,3.162278e-05,2.568429e-16,1.659847e-12,2.832844e+04
phis,0,0.000000,5.623413e-05,7.992921e-16,8.799978e-12,1.593025e+04
phis,0,0.000000,1.000000e-04,0.000000e+00,2.330835e-12,8.958242e+03
phis,0,0.000000,1.778279e-04,5.416247e-16,1.488204e-12,5.037592e+03
phis,0,0.000000,3.162278e-04,0.000000e+00,1.659684e-12,2.832849e+03
phis,0,0.000000,5.623413e-04,1.427303e-16,6.766844e-13,1.593030e+03
phis,0,0.000000,1.000000e-03,3.807205e-16,5.542022e-13,8.958291e+02
phis,0,0.000000,1.778279e-03,4.513495e-16,4.894885e-13,5.037641e+02
phis,0,0.000000,3.162278e-03,0.000000e+00,2.468053e-14,2.832898e+02
phis,0,0.000000,5.623413e-03,1.784074e-16,4.460185e-14,1.593079e+02
phis,0,0.000000,1.000000e-02,0.000000e+00,2.141436e-14,8.958781e+01
